Game_ID,Date,Home,Away,Home_Runs,Away_Runs,Game_Number
ARI-STL-20240424-1,2024-04-24,ARI,STL,5,1,1
DET-TB-20240424-1,2024-04-24,DET,TB,7,5,1
SEA-TEX-20240424-1,2024-04-24,SEA,TEX,5,1,1
LAD-WAS-20240424-1,2024-04-24,LAD,WAS,2,11,1
HOU-CHC-20240425-1,2024-04-25,HOU,CHC,3,1,1
PHI-CIN-20240425-1,2024-04-25,PHI,CIN,0,5,1
BOS-CLE-20240425-1,2024-04-25,BOS,CLE,6,4,1
SD-COL-20240425-1,2024-04-25,SD,COL,10,9,1
TOR-KC-20240425-1,2024-04-25,TOR,KC,2,1,1
CHW-MIN-20240425-1,2024-04-25,CHW,MIN,6,3,1
OAK-NYY-20240425-1,2024-04-25,OAK,NYY,1,3,1
MIL-PIT-20240425-1,2024-04-25,MIL,PIT,5,7,1
SEA-TEX-20240425-1,2024-04-25,SEA,TEX,3,4,1
LAD-WAS-20240425-1,2024-04-25,LAD,WAS,1,2,1
MIN-LAA-20240426-1,2024-04-26,MIN,LAA,3,5,1
CLE-ATL-20240426-1,2024-04-26,CLE,ATL,6,2,1
OAK-BAL-20240426-1,2024-04-26,OAK,BAL,2,3,1
CHC-BOS-20240426-1,2024-04-26,CHC,BOS,1,7,1
TB-CHW-20240426-1,2024-04-26,TB,CHW,9,4,1
KC-DET-20240426-1,2024-04-26,KC,DET,0,8,1
WAS-MIA-20240426-1,2024-04-26,WAS,MIA,1,3,1
NYY-MIL-20240426-1,2024-04-26,NYY,MIL,7,6,1
STL-NYM-20240426-1,2024-04-26,STL,NYM,2,4,1
PHI-SD-20240426-1,2024-04-26,PHI,SD,3,9,1
ARI-SEA-20240426-1,2024-04-26,ARI,SEA,6,1,1
PIT-SF-20240426-1,2024-04-26,PIT,SF,3,0,1
CIN-TEX-20240426-1,2024-04-26,CIN,TEX,2,1,1
LAD-TOR-20240426-1,2024-04-26,LAD,TOR,2,12,1
MIN-LAA-20240427-1,2024-04-27,MIN,LAA,5,16,1
CLE-ATL-20240427-1,2024-04-27,CLE,ATL,2,4,1
OAK-BAL-20240427-1,2024-04-27,OAK,BAL,7,0,1
CHC-BOS-20240427-1,2024-04-27,CHC,BOS,17,0,1
TB-CHW-20240427-1,2024-04-27,TB,CHW,8,7,1
HOU-COL-20240427-1,2024-04-27,HOU,COL,4,12,1
KC-DET-20240427-1,2024-04-27,KC,DET,6,5,1
WAS-MIA-20240427-1,2024-04-27,WAS,MIA,4,11,1
NYY-MIL-20240427-1,2024-04-27,NYY,MIL,3,15,1
STL-NYM-20240427-1,2024-04-27,STL,NYM,4,7,1
PHI-SD-20240427-1,2024-04-27,PHI,SD,1,5,1
